lineage_minus2	count	percentage
ecological metagenomes	611159	39.75%
organismal metagenomes	407626	26.51%
Saccharomyces	140005	9.10%
metagenomes	79062	5.14%
Anopheles	70596	4.59%
environmental samples	21132	1.37%
Vibrio	13436	0.87%
Salmo	12283	0.80%
Bacteria	9219	0.60%
Toxoplasma	7646	0.50%
Plasmodium (Laverania)	7058	0.46%
Gasterosteus	5737	0.37%
Severe acute respiratory syndrome-related coronavirus	5153	0.34%
Bacillus	3907	0.25%
Eukaryota	3457	0.22%
Arabidopsis	3433	0.22%
Oncorhynchus	3008	0.20%
Oryzias	2958	0.19%
Pan	2763	0.18%
Ciona	2689	0.17%
